Time [s], Analyzer Name, Decoded Protocol Result
2.509388708333333,SPI,MOSI: H;  MISO: '0'
2.509502083333333,SPI,MOSI: '18';  MISO: '128'
2.509567750000000,SPI,MOSI: '147';  MISO: '8'
2.509633250000000,SPI,MOSI: p;  MISO: '147'
2.509698750000000,SPI,MOSI: `;  MISO: p
2.509764416666667,SPI,MOSI: '5';  MISO: `
2.509829916666667,SPI,MOSI: b;  MISO: '5'
2.509895416666667,SPI,MOSI: ~;  MISO: b
2.509960875000000,SPI,MOSI: y;  MISO: ~
2.510026375000000,SPI,MOSI: '31';  MISO: y
2.510091875000000,SPI,MOSI: ";  MISO: '31'
2.510172666666667,SPI,MOSI: '26';  MISO: "
2.510237583333333,SPI,MOSI: '0';  MISO: '12'
2.510317458333333,SPI,MOSI: '2';  MISO: '0'
2.510462583333333,SPI,MOSI: '154';  MISO: '12'
2.510527500000000,SPI,MOSI: '0';  MISO: '0'
2.510607875000000,SPI,MOSI: '26';  MISO: '0'
2.510672791666666,SPI,MOSI: '128';  MISO: '12'
2.510758833333333,SPI,MOSI: '136';  MISO: '128'
2.510823750000000,SPI,MOSI: '0';  MISO: '4'
2.510904458333334,SPI,MOSI: '136';  MISO: '0'
2.510969375000000,SPI,MOSI: '0';  MISO: '4'
2.511050041666667,SPI,MOSI: '136';  MISO: '0'
2.511114958333333,SPI,MOSI: '0';  MISO: '4'
2.511195666666667,SPI,MOSI: '136';  MISO: '0'
2.511260583333333,SPI,MOSI: '0';  MISO: '4'
2.511341250000000,SPI,MOSI: '136';  MISO: '0'
2.511406166666667,SPI,MOSI: '0';  MISO: '4'
2.511486875000000,SPI,MOSI: '136';  MISO: '0'
2.511551791666667,SPI,MOSI: '0';  MISO: D
2.511632458333333,SPI,MOSI: '136';  MISO: '0'
2.511697375000000,SPI,MOSI: '0';  MISO: D
2.511784250000000,SPI,MOSI: '136';  MISO: '0'
2.511849166666666,SPI,MOSI: '0';  MISO: D
2.511929875000000,SPI,MOSI: '136';  MISO: '0'
2.511994791666667,SPI,MOSI: '0';  MISO: d
2.512075166666667,SPI,MOSI: '140';  MISO: '0'
2.512140083333333,SPI,MOSI: '0';  MISO: '0'
2.512220958333333,SPI,MOSI: '148';  MISO: '0'
2.512285875000000,SPI,MOSI: '0';  MISO: '3'
2.512373791666667,SPI,MOSI: %;  MISO: '0'
2.512439666666667,SPI,MOSI: %;  MISO: '17'
2.512505541666667,SPI,MOSI: $;  MISO: m
2.512642833333333,SPI,MOSI: '152';  MISO: '0'
2.512707750000000,SPI,MOSI: '0';  MISO: '16'
2.512804875000000,SPI,MOSI: '2';  MISO: '0'
2.512869791666667,SPI,MOSI: '0';  MISO: '0'
2.512949666666667,SPI,MOSI: \n;  MISO: '0'
2.513014583333333,SPI,MOSI: '4';  MISO: '4'
2.513126750000000,SPI,MOSI: @;  MISO: @
2.513272041666667,SPI,MOSI: H;  MISO: '0'
2.513385416666666,SPI,MOSI: '18';  MISO: '128'
2.513451083333333,SPI,MOSI: '8';  MISO: '8'
2.513587875000000,SPI,MOSI: '1';  MISO: '0'
2.513716666666667,SPI,MOSI: @;  MISO: `
2.513884208333333,SPI,MOSI: '0';  MISO: '0'
2.514020875000000,SPI,MOSI: '0';  MISO: -
